id,name,lastname,price,flycode,typePassenger,statusFlight
1,Lou,González,10000.000000,BA2491A,FirstClass,En horario
2,Ulrike,Muñoz,25000.000000,IB0800A,FirstClass,En horario
3,Brade,Rojas,20000.000000,MM0987B,FirstClass,En horario
4,Kimbell,Díaz,50000.000000,BA2491A,FirstClass,En horario
5,Sheelagh,Pérez,18000.000000,IB0800A,FirstClass,En horario
6,Gayle,Soto,30000.000000,MM0987B,FirstClass,En horario
7,Kimberlee,Contreras,33000.000000,BA2491A,FirstClass,En horario
8,Henrieta,Silva,30000.000000,IB0800A,FirstClass,En horario
9,Jeanine,Martínez,18000.000000,MM0987B,FirstClass,En horario
10,Aggie,Sepúlveda,15000.000000,BA2491A,FirstClass,En horario
11,Brandea,Morales,15000.000000,IB0800A,FirstClass,En horario
12,Cordelie,Rodríguez,50000.000000,IB0800A,FirstClass,En horario
13,Shel,López,50000.000000,MM0987B,FirstClass,En horario
14,Bronnie,Fuentes,20000.000000,MM0987B,FirstClass,En horario
15,Megen,Hernández,10000.000000,BA2491A,FirstClass,En horario
16,Iver,Torres,12000.000000,BA2491A,FirstClass,En horario
17,Ernesta,Araya,37000.000000,BA2491A,FirstClass,En horario
18,Cirillo,Flores,50000.000000,MM0987B,FirstClass,En horario
19,Park,Espinoza,30000.000000,MM0987B,FirstClass,En horario
20,Bellanca,Valenzuela,15000.000000,BA2491A,FirstClass,En horario
21,Bobbye,Castillo,15000.000000,BA2491A,FirstClass,En horario
22,Eugene,Tapia,50000.000000,BA2491A,FirstClass,En horario
23,Johnny,Reyes,33000.000000,MM0987B,FirstClass,En horario
24,Reagen,Gutiérrez,42000.000000,MM0987B,FirstClass,En horario
25,Braden,Castro,25000.000000,MM0987B,FirstClass,En horario
26,Karim,Pizarro,25000.000000,MM0987B,FirstClass,En horario
27,Anthea,Álvarez,42000.000000,MM0987B,FirstClass,En horario
28,Doro,Vásquez,33000.000000,IB0800A,FirstClass,En horario
29,Gaye,Sánchez,37000.000000,IB0800A,FirstClass,En horario
30,Toby,Fernández,15000.000000,IB0800A,FirstClass,En horario
31,Franny,Ramírez,15000.000000,IB0800A,FirstClass,En horario
32,Katey,Carrasco,42000.000000,MM0987B,FirstClass,En horario
33,Earle,Gómez,10000.000000,BA2491A,FirstClass,En horario
34,Redd,Cortés,42000.000000,BA2491A,FirstClass,En horario
35,Jehanna,Herrera,50000.000000,BA2491A,FirstClass,En horario
36,Cristie,Núñez,10000.000000,BA2491A,FirstClass,En horario
37,Stefa,Jara,42000.000000,BA2491A,FirstClass,En horario
38,Roda,Vergara,25000.000000,MM0987B,FirstClass,En horario
39,Alfredo,Rivera,10000.000000,MM0987B,FirstClass,En horario
40,Sydney,Figueroa,10000.000000,MM0987B,FirstClass,En horario
41,Brnaba,Riquelme,30000.000000,MM0987B,FirstClass,En horario
42,Ame,García,50000.000000,BA2491A,ExecutiveClass,En vuelo
43,Bradney,Miranda,25000.000000,BA2491A,ExecutiveClass,En vuelo
44,Margarete,Bravo,50000.000000,BA2491A,ExecutiveClass,En vuelo
45,Nikoletta,Vera,50000.000000,MM0987B,FirstClass,En horario
46,Lonnard,Molina,50000.000000,IB0800A,FirstClass,En horario
47,Raine,Vega,30000.000000,IB0800A,FirstClass,En horario
48,Noella,Campos,15000.000000,IB0800A,FirstClass,En horario
49,Dagmar,Sandoval,25000.000000,IB0800A,FirstClass,En horario
50,Carroll,Orellana,42000.000000,IB0800A,FirstClass,En horario
51,Marion,Cárdenas,50000.000000,IB0800A,FirstClass,En horario
52,Carline,Olivares,12000.000000,IB0800A,FirstClass,En horario
53,Hyacinthie,Alarcón,15000.000000,MM0987B,FirstClass,En horario
54,Julina,Gallardo,33000.000000,MM0987B,FirstClass,En horario
55,Corina,Ortiz,37000.000000,MM0987B,FirstClass,En horario
56,Bernardine,Garrido,33000.000000,MM0987B,FirstClass,En horario
57,Homer,Salazar,18000.000000,MM0987B,FirstClass,En horario
58,Lianna,Guzmán,12000.000000,MM0987B,FirstClass,En horario
59,Celene,Henríquez,50000.000000,MM0987B,FirstClass,En horario
60,Kori,Saavedra,50000.000000,MM0987B,FirstClass,En horario
61,Deeyn,Navarro,20000.000000,MM0987B,FirstClass,En horario
62,Marysa,Aguilera,20000.000000,MM0987B,FirstClass,En horario
63,Loy,Parra,15000.000000,MM0987B,FirstClass,En horario
64,Gabbey,Romero,37000.000000,MM0987B,FirstClass,En horario
65,Star,Aravena,33000.000000,MM0987B,FirstClass,En horario
66,Dominica,Vargas,33000.000000,IB0800A,FirstClass,En horario
67,Blanch,Vázquez,15000.000000,IB0800A,FirstClass,En horario
68,Cristobal,Cáceres,15000.000000,IB0800A,FirstClass,En horario
69,Paulita,Yáñez,50000.000000,IB0800A,FirstClass,En horario
70,Sayre,Leiva,33000.000000,IB0800A,FirstClass,En horario
71,Shaughn,Escobar,15000.000000,IB0800A,FirstClass,En horario
72,Katrine,Ruiz,25000.000000,IB0800A,FirstClass,En horario
73,Cristi,Valdés,42000.000000,IB0800A,FirstClass,En horario
74,Cristie,Vidal,25000.000000,IB0800A,ExecutiveClass,En vuelo
75,Solomon,Salinas,10000.000000,IB0800A,ExecutiveClass,En vuelo
76,Nananne,Zúñiga,33000.000000,IB0800A,ExecutiveClass,En vuelo
77,Sacha,Peña,25000.000000,IB0800A,ExecutiveClass,En vuelo
78,Morse,Godoy,25000.000000,IB0800A,ExecutiveClass,En vuelo
79,Roland,Lagos,25000.000000,IB0800A,ExecutiveClass,En vuelo
80,Jesselyn,Maldonado,30000.000000,IB0800A,ExecutiveClass,En vuelo
81,Kylila,Bustos,12000.000000,IB0800A,ExecutiveClass,En vuelo
82,Kendre,Medina,25000.000000,IB0800A,ExecutiveClass,En vuelo
83,Lesya,Pino,15000.000000,IB0800A,ExecutiveClass,En vuelo
84,Tatiania,Palma,20000.000000,IB0800A,ExecutiveClass,En vuelo
85,Trenton,Moreno,12000.000000,IB0800A,ExecutiveClass,En vuelo
86,Angie,Sanhueza,20000.000000,MM0987B,FirstClass,En horario
87,Joelle,Carvajal,37000.000000,MM0987B,FirstClass,En horario
88,George,Navarrete,30000.000000,MM0987B,ExecutiveClass,En vuelo
89,Guenevere,Sáez,30000.000000,MM0987B,ExecutiveClass,En vuelo
90,Margaretha,Alvarado,10000.000000,MM0987B,ExecutiveClass,En vuelo
91,Sully,Donoso,15000.000000,MM0987B,ExecutiveClass,En vuelo
92,Lonni,Poblete,50000.000000,MM0987B,ExecutiveClass,En vuelo
93,Nicky,Bustamante,42000.000000,MM0987B,ExecutiveClass,En vuelo
94,My,Toro,18000.000000,MM0987B,ExecutiveClass,En vuelo
95,Kyrstin,Ortega,37000.000000,IB0800A,ExecutiveClass,En vuelo
96,Martino,Venegas,15000.000000,IB0800A,ExecutiveClass,En vuelo
97,Marcellus,Guerrero,50000.000000,IB0800A,ExecutiveClass,En vuelo
98,Jacquelin,Mendoza,30000.000000,IB0800A,ExecutiveClass,En vuelo
99,Aleda,Farías,50000.000000,IB0800A,ExecutiveClass,En vuelo
100,Georgeta,San Martín,10000.000000,IB0800A,ExecutiveClass,En vuelo
101,Marcille,González,10000.000000,IB0800A,ExecutiveClass,En vuelo
102,Ertha,Fernández,10000.000000,IB0800A,ExecutiveClass,En vuelo
103,Desiri,Rodríguez,25000.000000,MM0987B,ExecutiveClass,En vuelo
104,Geneva,López,33000.000000,MM0987B,ExecutiveClass,En vuelo
105,Kilian,Martínez,42000.000000,MM0987B,ExecutiveClass,En vuelo
106,Nance,Sánchez,10000.000000,MM0987B,ExecutiveClass,En vuelo
107,Gaven,Pérez,10000.000000,MM0987B,ExecutiveClass,En vuelo
108,Carlie,Gómez,10000.000000,MM0987B,ExecutiveClass,En vuelo
109,Trixie,Martín,42000.000000,IB0800A,ExecutiveClass,En vuelo
110,Dominick,Jiménez,30000.000000,IB0800A,ExecutiveClass,En vuelo
111,Petey,Ruiz,15000.000000,IB0800A,ExecutiveClass,En vuelo
112,Tersina,Hernández,30000.000000,IB0800A,ExecutiveClass,En vuelo
113,Johnathon,Díaz,15000.000000,IB0800A,ExecutiveClass,En vuelo
114,Freddie,Moreno,12000.000000,IB0800A,ExecutiveClass,En vuelo
115,Harmon,Álvarez,50000.000000,IB0800A,ExecutiveClass,En vuelo
116,Tracey,Muñoz,20000.000000,IB0800A,ExecutiveClass,En vuelo
117,Cherrita,Romero,33000.000000,MM0987B,ExecutiveClass,En vuelo
118,Stu,Alonso,12000.000000,MM0987B,ExecutiveClass,En vuelo
119,Glenda,Gutiérrez,37000.000000,MM0987B,ExecutiveClass,En vuelo
120,Lorettalorna,Navarro,25000.000000,MM0987B,ExecutiveClass,En vuelo
121,Patrizio,Torres,15000.000000,IB0800A,ExecutiveClass,En vuelo
122,Linda,Domínguez,30000.000000,IB0800A,ExecutiveClass,En vuelo
123,Pippa,Vázquez,20000.000000,IB0800A,ExecutiveClass,En vuelo
124,Pen,Ramos,18000.000000,IB0800A,EconomyClass,Aterrizado
125,Esteban,González,15000.000000,IB0800A,EconomyClass,Aterrizado
126,Fonzie,Muñoz,15000.000000,IB0800A,EconomyClass,Aterrizado
127,Cindelyn,Rojas,12000.000000,IB0800A,EconomyClass,Aterrizado
128,Zacharie,Díaz,30000.000000,BA2491A,ExecutiveClass,En vuelo
129,Vina,Pérez,42000.000000,BA2491A,ExecutiveClass,En vuelo
130,Omero,Soto,10000.000000,BA2491A,ExecutiveClass,En vuelo
131,Tom,Contreras,33000.000000,BA2491A,ExecutiveClass,En vuelo
132,Dante,Silva,30000.000000,BA2491A,ExecutiveClass,En vuelo
133,Cordy,Martínez,18000.000000,BA2491A,ExecutiveClass,En vuelo
134,Stephenie,Sepúlveda,50000.000000,BA2491A,ExecutiveClass,En vuelo
135,Dunstan,Morales,20000.000000,BA2491A,ExecutiveClass,En vuelo
136,Gideon,Rodríguez,15000.000000,BA2491A,ExecutiveClass,En vuelo
137,Johnette,López,10000.000000,BA2491A,ExecutiveClass,En vuelo
138,Brynn,Fuentes,50000.000000,BA2491A,ExecutiveClass,En vuelo
139,Yankee,Hernández,42000.000000,BA2491A,ExecutiveClass,En vuelo
140,Corbin,Torres,42000.000000,BA2491A,ExecutiveClass,En vuelo
141,Coreen,Araya,18000.000000,IB0800A,EconomyClass,Aterrizado
142,Tanya,Flores,30000.000000,IB0800A,EconomyClass,Aterrizado
143,Jenna,Espinoza,25000.000000,IB0800A,EconomyClass,Aterrizado
144,Flora,Valenzuela,33000.000000,IB0800A,EconomyClass,Aterrizado
145,Dianna,Castillo,20000.000000,IB0800A,EconomyClass,Aterrizado
146,Armand,Tapia,15000.000000,IB0800A,EconomyClass,Aterrizado
147,Gustie,Reyes,42000.000000,IB0800A,EconomyClass,Aterrizado
148,Benton,Gutiérrez,12000.000000,IB0800A,EconomyClass,Aterrizado
149,Lena,Castro,25000.000000,IB0800A,EconomyClass,Aterrizado
150,Dot,Pizarro,18000.000000,IB0800A,EconomyClass,Aterrizado
151,Meryl,Álvarez,12000.000000,IB0800A,EconomyClass,Aterrizado
152,Babbie,Vásquez,15000.000000,IB0800A,EconomyClass,Aterrizado
153,Byram,Sánchez,42000.000000,IB0800A,EconomyClass,Aterrizado
154,Bertine,Fernández,25000.000000,IB0800A,EconomyClass,Aterrizado
155,Osbert,Ramírez,42000.000000,IB0800A,EconomyClass,Aterrizado
156,Tanny,Carrasco,42000.000000,IB0800A,EconomyClass,Aterrizado
157,Maryjo,Gómez,12000.000000,IB0800A,EconomyClass,Aterrizado
158,Clarie,Cortés,42000.000000,IB0800A,EconomyClass,Aterrizado
159,Kipp,Herrera,15000.000000,IB0800A,EconomyClass,Aterrizado
160,Leonie,Núñez,50000.000000,IB0800A,EconomyClass,Aterrizado
161,Ferdie,Jara,15000.000000,IB0800A,EconomyClass,Aterrizado
162,Ofella,Vergara,50000.000000,IB0800A,EconomyClass,Aterrizado
163,Pascale,Rivera,15000.000000,IB0800A,EconomyClass,Aterrizado
164,Cathrin,Figueroa,30000.000000,IB0800A,EconomyClass,Aterrizado
165,Sib,Riquelme,33000.000000,IB0800A,EconomyClass,Aterrizado
166,Darleen,García,42000.000000,IB0800A,EconomyClass,Aterrizado
167,Didi,Miranda,15000.000000,IB0800A,EconomyClass,Aterrizado
168,Lodovico,Bravo,18000.000000,IB0800A,EconomyClass,Aterrizado
169,Farley,Vera,12000.000000,IB0800A,EconomyClass,Aterrizado
170,Devi,Molina,25000.000000,IB0800A,EconomyClass,Aterrizado
171,Clair,Vega,37000.000000,IB0800A,EconomyClass,Aterrizado
172,Addy,Campos,33000.000000,IB0800A,EconomyClass,Aterrizado
173,Brandon,Sandoval,18000.000000,IB0800A,EconomyClass,Aterrizado
174,Prentiss,Orellana,30000.000000,IB0800A,EconomyClass,Aterrizado
175,Lorant,Cárdenas,50000.000000,MM0987B,ExecutiveClass,En vuelo
176,Wanids,Olivares,30000.000000,MM0987B,ExecutiveClass,En vuelo
177,Robbi,Alarcón,10000.000000,MM0987B,ExecutiveClass,En vuelo
